Series Name,Season Number,Episode Number,Episode Title,Air Date
Breaking Bad,1,1,Pilot,2008-01-20
Breaking Bad,1,1,Pilot,2008-01-20
Breaking Bad,1,1,   Pilot  ,2008-01-20
Breaking Bad,,1,Pilot,2008-01-20
Breaking Bad,1,,Pilot,2008-01-20
Breaking Bad,1,1,,2008-01-20
Breaking Bad,1,1,Pilot,
Breaking Bad,1,2,Cat's in the Bag...,2008-01-27
Breaking Bad,1,2,Cat's in the Bag...,2008-01-27
Breaking Bad,1,2,   cat's in the bag   ,2008-01-27
Breaking Bad,2,1,Seven Thirty-Seven,2009-03-08
Breaking Bad,2,1,Seven Thirty-Seven,2009-03-08
Breaking Bad,-1,1,Invalid Season,2008-02-10
Breaking Bad,1,-5,Invalid Episode,2008-01-20
Breaking Bad,1,1,Pilot,2022-13-01
Breaking Bad,1,1,Pilot,0000-00-00
Breaking Bad,1,1,Pilot,2025-12-31
,,,
The Office,1,1,Pilot,2005-03-24
The Office,1,1,Pilot,2005-03-24
The Office,1,1,   pilot   ,2005-03-24
The Office,2,1,The Dundies,2005-09-20
The Office,2,1,The Dundies,2005-09-20
Friends,1,1,The One Where Monica Gets a Roommate,1994-09-22
Friends,1,1,The One Where Monica Gets a Roommate,1994-09-22
Friends,1,1,   the one where monica gets a roommate   ,1994-09-22
Breaking Bad,1,3,...and the Bag's in the River,2008-02-10
Breaking Bad,1,3,...and the Bag's in the River,2008-02-10
Breaking Bad,1,1,Pilot with Special Chars: ¡Hola!,2008-01-20
Breaking Bad,1,1,Pilot,invalid date format
Breaking Bad,1,1,Pilot,99-99-99
,,1,Pilot,2008-01-20
Breaking Bad,,,,
Breaking Bad,0,0,Untitled Episode,Unknown
Breaking Bad,0,0,Untitled Episode,Unknown
Breaking Bad,0,0,Untitled Episode,Unknown
